filename,centroid_lat,centroid_lon,area_ha,distance_to_road_km
task_grid_44.96_60.55.kml,44.96,60.55,6452.5,50.36
task_grid_44.76_59.05.kml,44.76,59.05,6434.8,3.58
task_grid_44.16_60.45.kml,44.16,60.45,6431.1,20.32
task_grid_44.66_59.05.kml,44.66,59.05,6422.7,2.9
task_grid_45.76_60.55.kml,45.76,60.55,6422.6,40.54
task_grid_45.36_60.95.kml,45.36,60.95,6421.2,51.84
task_grid_44.26_60.85.kml,44.26,60.85,6395.7,8.35
task_grid_44.56_59.05.kml,44.56,59.05,6378.6,3.93
task_grid_44.16_60.65.kml,44.16,60.65,6376.7,5.65
task_grid_44.26_60.65.kml,44.26,60.65,6367.1,15.69
task_grid_44.36_60.75.kml,44.36,60.75,6324.6,17.11
task_grid_45.46_61.25.kml,45.46,61.25,6300.5,27.73
task_grid_46.16_59.85.kml,46.16,59.85,6293.3,10.84
task_grid_45.26_60.75.kml,45.26,60.75,6260.8,70.76
task_grid_43.56_60.35.kml,43.56,60.35,6259.1,3.64
task_grid_43.96_60.95.kml,43.96,60.95,6258.0,4.05
task_grid_44.16_60.35.kml,44.16,60.35,6251.9,28.21
task_grid_43.76_61.15.kml,43.76,61.15,6240.9,9.29
task_grid_45.26_61.15.kml,45.26,61.15,6224.4,43.17
task_grid_45.26_60.85.kml,45.26,60.85,6125.3,65.13
task_grid_43.86_61.05.kml,43.86,61.05,6036.7,4.12
task_grid_45.76_59.95.kml,45.76,59.95,6036.6,33.41
task_grid_43.76_61.05.kml,43.76,61.05,6022.9,4.35
task_grid_45.86_61.35.kml,45.86,61.35,6010.1,0.13
task_grid_43.96_60.15.kml,43.96,60.15,5993.9,40.21
task_grid_45.56_60.65.kml,45.56,60.65,5974.4,54.01
task_grid_45.66_60.25.kml,45.66,60.25,5961.7,58.62
task_grid_43.66_60.25.kml,43.66,60.25,5961.4,10.04
task_grid_45.96_60.05.kml,45.96,60.05,5918.7,31.21
task_grid_46.06_59.85.kml,46.06,59.85,5912.8,21.93
task_grid_45.06_59.15.kml,45.06,59.15,5907.2,1.13
