filename,centroid_lat,centroid_lon,area_ha,low_risk_ha,moderate_risk_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_v6_45.31_60.76.kml,45.31,60.76,217.2,0.0,217.2,66.76,66.76,kazakhstan
task_grid_v6_46.41_59.96.kml,46.41,59.96,210.9,133.3,77.6,2.83,2.83,kazakhstan
task_grid_v6_45.31_60.66.kml,45.31,60.66,199.9,0.0,199.9,73.23,73.23,kazakhstan
task_grid_v6_45.41_61.26.kml,45.41,61.26,193.2,0.7,192.5,31.56,31.56,kazakhstan
task_grid_v6_45.01_61.36.kml,45.01,61.36,188.3,0.0,188.3,28.46,28.46,kazakhstan
task_grid_v6_46.51_60.86.kml,46.51,60.86,187.1,145.6,41.5,3.63,3.63,kazakhstan
task_grid_v6_44.91_60.86.kml,44.91,60.86,182.8,0.0,182.8,31.84,31.84,kazakhstan
task_grid_v6_45.01_61.76.kml,45.01,61.76,180.6,0.0,180.6,6.75,6.75,kazakhstan
task_grid_v6_45.21_59.26.kml,45.21,59.26,177.5,177.5,0.0,1.64,8.34,kazakhstan
task_grid_v6_45.31_61.46.kml,45.31,61.46,171.4,0.0,171.4,18.63,18.63,kazakhstan
task_grid_v6_44.91_60.76.kml,44.91,60.76,170.8,0.0,170.8,35.89,35.89,kazakhstan
task_grid_v6_45.91_60.56.kml,45.91,60.56,170.0,0.0,170.0,26.0,26.0,kazakhstan
task_grid_v6_45.21_61.56.kml,45.21,61.56,167.3,0.0,167.3,14.02,14.02,kazakhstan
task_grid_v6_45.81_60.66.kml,45.81,60.66,166.1,33.5,132.6,31.84,31.84,kazakhstan
task_grid_v6_44.91_60.66.kml,44.91,60.66,165.6,0.0,165.6,40.64,40.64,kazakhstan
task_grid_v6_44.71_61.26.kml,44.71,61.26,163.0,0.0,163.0,0.94,4.13,kazakhstan
task_grid_v6_44.81_60.76.kml,44.81,60.76,160.8,0.0,160.8,27.09,27.09,kazakhstan
task_grid_v6_46.21_59.56.kml,46.21,59.56,159.1,102.9,56.1,3.61,3.61,kazakhstan
task_grid_v6_46.01_59.16.kml,46.01,59.16,158.6,158.6,0.0,0.8,0.8,kazakhstan
