filename,centroid_lat,centroid_lon,area_ha
task_grid_45.46_59.25.kml,45.46,59.25,7583.0
task_grid_45.76_61.15.kml,45.76,61.15,7579.7
task_grid_43.76_59.95.kml,43.76,59.95,7567.8
task_grid_43.56_60.55.kml,43.56,60.55,7566.6
task_grid_46.46_59.45.kml,46.46,59.45,7565.0
task_grid_46.36_59.65.kml,46.36,59.65,7561.8
task_grid_43.96_60.85.kml,43.96,60.85,7560.9
task_grid_44.46_60.55.kml,44.46,60.55,7540.8
task_grid_44.86_60.85.kml,44.86,60.85,7528.9
task_grid_44.76_60.65.kml,44.76,60.65,7528.7
task_grid_46.36_59.55.kml,46.36,59.55,7525.0
task_grid_45.26_60.65.kml,45.26,60.65,7496.7
task_grid_44.16_61.25.kml,44.16,61.25,7491.4
task_grid_45.76_60.85.kml,45.76,60.85,7483.8
task_grid_44.26_60.95.kml,44.26,60.95,7453.4
task_grid_45.66_61.15.kml,45.66,61.15,7436.0
task_grid_44.96_61.15.kml,44.96,61.15,7433.7
task_grid_43.56_60.45.kml,43.56,60.45,7429.1
task_grid_45.26_59.35.kml,45.26,59.35,7424.5
task_grid_45.16_59.35.kml,45.16,59.35,7410.5
task_grid_45.36_58.85.kml,45.36,58.85,7390.9
task_grid_45.96_58.95.kml,45.96,58.95,7388.9
task_grid_45.06_59.05.kml,45.06,59.05,7376.3
task_grid_45.76_61.25.kml,45.76,61.25,7355.9
task_grid_45.46_61.15.kml,45.46,61.15,7350.2
task_grid_45.56_59.25.kml,45.56,59.25,7349.0
task_grid_45.86_61.05.kml,45.86,61.05,7343.4
task_grid_44.36_60.95.kml,44.36,60.95,7330.7
task_grid_43.86_61.25.kml,43.86,61.25,7324.2
task_grid_45.86_59.35.kml,45.86,59.35,7309.4
task_grid_45.06_59.25.kml,45.06,59.25,7302.2
task_grid_44.66_61.25.kml,44.66,61.25,7294.9
task_grid_45.66_60.85.kml,45.66,60.85,7276.6
task_grid_46.16_60.35.kml,46.16,60.35,7261.8
task_grid_44.96_60.65.kml,44.96,60.65,7235.9
task_grid_44.46_61.45.kml,44.46,61.45,7220.4
task_grid_43.96_60.75.kml,43.96,60.75,7188.0
task_grid_43.96_60.65.kml,43.96,60.65,7181.2
task_grid_44.16_60.75.kml,44.16,60.75,7171.7
task_grid_45.86_59.45.kml,45.86,59.45,7156.5
task_grid_45.36_60.65.kml,45.36,60.65,7149.6
task_grid_46.36_60.35.kml,46.36,60.35,7145.4
task_grid_46.46_59.25.kml,46.46,59.25,7144.0
task_grid_43.56_61.05.kml,43.56,61.05,7143.2
task_grid_44.56_60.65.kml,44.56,60.65,7140.7
task_grid_45.56_61.25.kml,45.56,61.25,7138.2
task_grid_44.66_61.15.kml,44.66,61.15,7136.0
task_grid_44.86_59.25.kml,44.86,59.25,7117.2
task_grid_44.66_61.35.kml,44.66,61.35,7107.7
task_grid_45.96_58.85.kml,45.96,58.85,7091.0
task_grid_44.46_61.05.kml,44.46,61.05,7084.0
task_grid_45.86_61.15.kml,45.86,61.15,7080.2
task_grid_46.16_60.55.kml,46.16,60.55,7077.7
task_grid_46.36_60.05.kml,46.36,60.05,7057.3
task_grid_43.66_61.05.kml,43.66,61.05,7052.8
task_grid_43.66_61.15.kml,43.66,61.15,7031.8
task_grid_44.56_61.15.kml,44.56,61.15,7024.0
task_grid_44.96_60.75.kml,44.96,60.75,7017.1
task_grid_44.16_60.85.kml,44.16,60.85,6997.6
task_grid_43.86_60.85.kml,43.86,60.85,6995.9
task_grid_44.46_61.15.kml,44.46,61.15,6967.9
task_grid_46.06_60.25.kml,46.06,60.25,6966.5
task_grid_43.96_61.55.kml,43.96,61.55,6960.3
task_grid_45.16_59.25.kml,45.16,59.25,6926.9
task_grid_44.56_61.05.kml,44.56,61.05,6911.6
task_grid_43.76_60.75.kml,43.76,60.75,6905.5
task_grid_45.16_58.85.kml,45.16,58.85,6901.2
task_grid_44.56_60.95.kml,44.56,60.95,6862.0
task_grid_44.06_60.55.kml,44.06,60.55,6843.9
task_grid_44.36_61.15.kml,44.36,61.15,6827.6
task_grid_46.36_59.35.kml,46.36,59.35,6768.6
task_grid_44.06_60.45.kml,44.06,60.45,6763.8
task_grid_45.66_61.25.kml,45.66,61.25,6763.3
task_grid_45.66_59.75.kml,45.66,59.75,6755.1
task_grid_45.86_61.25.kml,45.86,61.25,6735.5
task_grid_45.76_59.25.kml,45.76,59.25,6726.9
task_grid_43.76_60.35.kml,43.76,60.35,6726.3
task_grid_44.26_60.25.kml,44.26,60.25,6712.7
task_grid_44.36_61.05.kml,44.36,61.05,6709.7
task_grid_45.16_60.75.kml,45.16,60.75,6680.0
task_grid_44.36_61.55.kml,44.36,61.55,6674.6
task_grid_46.26_60.55.kml,46.26,60.55,6672.7
task_grid_44.46_60.85.kml,44.46,60.85,6650.7
task_grid_46.46_59.95.kml,46.46,59.95,6640.7
task_grid_43.86_60.75.kml,43.86,60.75,6612.5
task_grid_43.86_60.65.kml,43.86,60.65,6605.1
task_grid_44.56_60.75.kml,44.56,60.75,6584.5
task_grid_43.66_60.95.kml,43.66,60.95,6577.3
task_grid_43.86_60.55.kml,43.86,60.55,6559.1
task_grid_44.76_60.85.kml,44.76,60.85,6554.1
task_grid_45.36_61.25.kml,45.36,61.25,6549.1
task_grid_46.26_60.15.kml,46.26,60.15,6525.3
task_grid_45.26_59.25.kml,45.26,59.25,6508.8
task_grid_45.76_59.45.kml,45.76,59.45,6508.0
task_grid_44.16_58.85.kml,44.16,58.85,6491.5
task_grid_43.86_60.95.kml,43.86,60.95,6484.2
task_grid_44.06_60.85.kml,44.06,60.85,6470.7
task_grid_44.76_59.15.kml,44.76,59.15,6458.6
task_grid_44.96_60.55.kml,44.96,60.55,6452.5
task_grid_44.76_59.05.kml,44.76,59.05,6434.8
task_grid_44.16_60.45.kml,44.16,60.45,6431.1
task_grid_44.66_59.05.kml,44.66,59.05,6422.7
task_grid_45.76_60.55.kml,45.76,60.55,6422.6
task_grid_45.36_60.95.kml,45.36,60.95,6421.2
task_grid_44.26_60.85.kml,44.26,60.85,6395.7
task_grid_44.56_59.05.kml,44.56,59.05,6378.6
task_grid_44.16_60.65.kml,44.16,60.65,6376.7
task_grid_44.26_60.65.kml,44.26,60.65,6367.1
task_grid_44.36_60.75.kml,44.36,60.75,6324.6
task_grid_45.46_61.25.kml,45.46,61.25,6300.5
task_grid_46.16_59.85.kml,46.16,59.85,6293.3
task_grid_45.26_60.75.kml,45.26,60.75,6260.8
task_grid_43.56_60.35.kml,43.56,60.35,6259.1
task_grid_43.96_60.95.kml,43.96,60.95,6258.0
task_grid_44.16_60.35.kml,44.16,60.35,6251.9
task_grid_43.76_61.15.kml,43.76,61.15,6240.9
task_grid_45.26_61.15.kml,45.26,61.15,6224.4
task_grid_45.26_60.85.kml,45.26,60.85,6125.3
task_grid_43.86_61.05.kml,43.86,61.05,6036.7
task_grid_45.76_59.95.kml,45.76,59.95,6036.6
task_grid_43.76_61.05.kml,43.76,61.05,6022.9
task_grid_45.86_61.35.kml,45.86,61.35,6010.1
task_grid_43.96_60.15.kml,43.96,60.15,5993.9
task_grid_45.56_60.65.kml,45.56,60.65,5974.4
task_grid_45.66_60.25.kml,45.66,60.25,5961.7
task_grid_43.66_60.25.kml,43.66,60.25,5961.4
task_grid_45.96_60.05.kml,45.96,60.05,5918.7
task_grid_46.06_59.85.kml,46.06,59.85,5912.8
task_grid_45.06_59.15.kml,45.06,59.15,5907.2
task_grid_45.86_60.15.kml,45.86,60.15,5900.2
task_grid_44.96_60.85.kml,44.96,60.85,5879.9
task_grid_44.96_60.45.kml,44.96,60.45,5864.6
task_grid_43.66_60.05.kml,43.66,60.05,5844.2
task_grid_43.56_61.15.kml,43.56,61.15,5834.5
task_grid_44.56_59.75.kml,44.56,59.75,5799.7
task_grid_45.86_61.45.kml,45.86,61.45,5768.4
task_grid_44.26_60.45.kml,44.26,60.45,5763.8
task_grid_43.76_60.65.kml,43.76,60.65,5753.3
task_grid_45.56_60.35.kml,45.56,60.35,5749.8
task_grid_44.96_60.95.kml,44.96,60.95,5738.6
task_grid_45.86_60.95.kml,45.86,60.95,5731.4
task_grid_45.76_59.85.kml,45.76,59.85,5720.0
task_grid_45.46_60.65.kml,45.46,60.65,5703.5
task_grid_43.76_60.45.kml,43.76,60.45,5702.6
task_grid_43.76_61.25.kml,43.76,61.25,5664.6
task_grid_44.86_60.75.kml,44.86,60.75,5653.2
task_grid_45.46_58.85.kml,45.46,58.85,5646.7
task_grid_45.76_60.65.kml,45.76,60.65,5620.3
task_grid_44.26_61.75.kml,44.26,61.75,5619.0
task_grid_44.36_59.15.kml,44.36,59.15,5612.2
task_grid_46.36_60.25.kml,46.36,60.25,5604.4
task_grid_44.26_58.85.kml,44.26,58.85,5598.3
task_grid_45.96_59.95.kml,45.96,59.95,5587.8
task_grid_43.76_60.85.kml,43.76,60.85,5575.6
task_grid_45.66_60.75.kml,45.66,60.75,5548.6
task_grid_45.86_60.85.kml,45.86,60.85,5545.8
task_grid_43.76_60.55.kml,43.76,60.55,5545.3
task_grid_44.16_61.75.kml,44.16,61.75,5519.0
task_grid_43.86_61.15.kml,43.86,61.15,5513.3
task_grid_45.26_58.75.kml,45.26,58.75,5510.9
task_grid_46.16_60.45.kml,46.16,60.45,5509.8
task_grid_43.76_60.95.kml,43.76,60.95,5475.6
task_grid_45.16_60.85.kml,45.16,60.85,5458.6
task_grid_43.66_59.95.kml,43.66,59.95,5458.5
task_grid_44.06_60.95.kml,44.06,60.95,5415.0
task_grid_44.36_59.05.kml,44.36,59.05,5389.2
task_grid_44.56_59.15.kml,44.56,59.15,5383.6
task_grid_45.56_60.25.kml,45.56,60.25,5363.1
task_grid_45.86_59.55.kml,45.86,59.55,5353.1
task_grid_45.66_61.35.kml,45.66,61.35,5336.5
task_grid_45.06_60.75.kml,45.06,60.75,5322.1
task_grid_46.26_60.25.kml,46.26,60.25,5321.0
task_grid_44.36_61.65.kml,44.36,61.65,5291.2
task_grid_43.56_60.15.kml,43.56,60.15,5276.7
task_grid_45.66_60.55.kml,45.66,60.55,5199.5
task_grid_43.66_60.65.kml,43.66,60.65,5192.3
task_grid_45.86_60.05.kml,45.86,60.05,5180.1
task_grid_45.96_59.05.kml,45.96,59.05,5178.5
task_grid_46.16_60.65.kml,46.16,60.65,5176.9
task_grid_46.26_60.75.kml,46.26,60.75,5162.4
task_grid_44.66_59.15.kml,44.66,59.15,5152.9
task_grid_45.36_59.35.kml,45.36,59.35,5144.5
task_grid_44.36_59.55.kml,44.36,59.55,5089.7
task_grid_45.86_59.85.kml,45.86,59.85,5082.6
task_grid_43.96_58.05.kml,43.96,58.05,5082.1
task_grid_44.26_59.95.kml,44.26,59.95,5078.5
task_grid_45.86_59.75.kml,45.86,59.75,5064.8
task_grid_44.16_58.95.kml,44.16,58.95,5035.4
task_grid_44.66_60.55.kml,44.66,60.55,5021.9
task_grid_45.56_59.05.kml,45.56,59.05,5015.4
task_grid_45.26_61.25.kml,45.26,61.25,4994.9
task_grid_45.56_60.15.kml,45.56,60.15,4949.0
task_grid_44.66_61.05.kml,44.66,61.05,4914.9
task_grid_46.36_59.25.kml,46.36,59.25,4907.3
task_grid_45.86_60.25.kml,45.86,60.25,4892.1
task_grid_46.36_58.75.kml,46.36,58.75,4875.2
task_grid_44.66_60.75.kml,44.66,60.75,4858.0
task_grid_45.46_59.35.kml,45.46,59.35,4845.9
task_grid_45.56_59.85.kml,45.56,59.85,4842.6
task_grid_45.16_60.45.kml,45.16,60.45,4800.5
task_grid_46.06_59.15.kml,46.06,59.15,4799.5
task_grid_46.06_59.95.kml,46.06,59.95,4785.0
task_grid_45.76_60.75.kml,45.76,60.75,4782.1
task_grid_45.86_60.45.kml,45.86,60.45,4780.2
task_grid_44.36_60.05.kml,44.36,60.05,4758.6
task_grid_44.56_58.95.kml,44.56,58.95,4753.2
task_grid_44.66_60.85.kml,44.66,60.85,4743.7
task_grid_45.56_58.95.kml,45.56,58.95,4740.3
task_grid_46.16_59.45.kml,46.16,59.45,4734.2
task_grid_44.16_60.55.kml,44.16,60.55,4727.5
task_grid_45.66_60.35.kml,45.66,60.35,4724.2
task_grid_45.76_59.35.kml,45.76,59.35,4719.1
task_grid_45.56_59.75.kml,45.56,59.75,4719.1
task_grid_43.66_60.35.kml,43.66,60.35,4700.2
task_grid_43.56_60.25.kml,43.56,60.25,4689.0
task_grid_44.26_60.35.kml,44.26,60.35,4680.2
task_grid_44.36_58.85.kml,44.36,58.85,4674.2
task_grid_45.16_60.95.kml,45.16,60.95,4661.9
task_grid_45.86_61.75.kml,45.86,61.75,4626.2
task_grid_45.56_61.35.kml,45.56,61.35,4588.0
task_grid_44.86_61.25.kml,44.86,61.25,4585.5
task_grid_45.86_60.35.kml,45.86,60.35,4578.4
task_grid_44.86_60.65.kml,44.86,60.65,4566.3
task_grid_44.76_61.05.kml,44.76,61.05,4554.4
task_grid_46.06_58.75.kml,46.06,58.75,4553.5
task_grid_45.76_59.75.kml,45.76,59.75,4475.6
task_grid_45.86_60.65.kml,45.86,60.65,4372.8
task_grid_43.56_60.05.kml,43.56,60.05,4364.2
task_grid_46.16_59.35.kml,46.16,59.35,4362.5
task_grid_46.06_60.35.kml,46.06,60.35,4342.7
task_grid_44.16_60.25.kml,44.16,60.25,4308.5
task_grid_46.16_60.75.kml,46.16,60.75,4271.9
task_grid_46.16_59.55.kml,46.16,59.55,4249.6
task_grid_45.86_60.75.kml,45.86,60.75,4247.2
task_grid_44.96_59.25.kml,44.96,59.25,4207.5
task_grid_43.66_60.45.kml,43.66,60.45,4206.6
task_grid_44.16_61.85.kml,44.16,61.85,4191.9
task_grid_45.96_60.15.kml,45.96,60.15,4183.3
task_grid_44.86_61.15.kml,44.86,61.15,4141.2
task_grid_45.76_60.05.kml,45.76,60.05,4140.6
task_grid_45.46_60.55.kml,45.46,60.55,4140.5
task_grid_44.06_60.35.kml,44.06,60.35,4070.7
task_grid_45.06_58.85.kml,45.06,58.85,4053.6
task_grid_45.56_59.95.kml,45.56,59.95,4027.6
task_grid_46.16_58.85.kml,46.16,58.85,4025.8
task_grid_45.86_59.65.kml,45.86,59.65,4015.8
task_grid_45.06_60.25.kml,45.06,60.25,4010.3
task_grid_44.06_61.65.kml,44.06,61.65,3996.4
task_grid_43.66_61.25.kml,43.66,61.25,3991.1
task_grid_45.06_60.85.kml,45.06,60.85,3977.0
task_grid_46.06_59.25.kml,46.06,59.25,3878.3
task_grid_45.86_59.95.kml,45.86,59.95,3853.6
task_grid_43.66_60.85.kml,43.66,60.85,3839.7
task_grid_44.66_61.45.kml,44.66,61.45,3813.5
task_grid_44.66_60.65.kml,44.66,60.65,3795.6
task_grid_43.76_60.05.kml,43.76,60.05,3763.6
task_grid_43.76_61.35.kml,43.76,61.35,3761.6
task_grid_45.86_59.25.kml,45.86,59.25,3752.3
task_grid_45.36_60.85.kml,45.36,60.85,3717.1
task_grid_44.96_60.35.kml,44.96,60.35,3712.2
task_grid_44.76_60.95.kml,44.76,60.95,3691.9
task_grid_45.06_58.95.kml,45.06,58.95,3682.1
task_grid_45.36_60.75.kml,45.36,60.75,3676.2
task_grid_43.56_59.95.kml,43.56,59.95,3673.7
task_grid_44.56_61.45.kml,44.56,61.45,3672.4
task_grid_44.46_59.15.kml,44.46,59.15,3660.0
task_grid_45.36_61.35.kml,45.36,61.35,3608.0
task_grid_45.76_59.65.kml,45.76,59.65,3596.7
task_grid_44.46_59.05.kml,44.46,59.05,3587.8
task_grid_46.26_59.55.kml,46.26,59.55,3564.3
task_grid_43.86_61.45.kml,43.86,61.45,3559.4
task_grid_46.36_60.15.kml,46.36,60.15,3540.4
task_grid_44.56_59.65.kml,44.56,59.65,3527.3
task_grid_44.66_60.95.kml,44.66,60.95,3525.9
task_grid_45.76_61.35.kml,45.76,61.35,3521.7
task_grid_45.76_58.65.kml,45.76,58.65,3486.6
task_grid_44.06_58.05.kml,44.06,58.05,3440.6
task_grid_45.56_60.05.kml,45.56,60.05,3437.0
task_grid_44.46_58.95.kml,44.46,58.95,3408.1
task_grid_45.46_61.35.kml,45.46,61.35,3394.2
task_grid_45.46_60.45.kml,45.46,60.45,3376.8
task_grid_46.06_59.75.kml,46.06,59.75,3376.7
task_grid_43.96_61.25.kml,43.96,61.25,3365.1
task_grid_44.76_60.55.kml,44.76,60.55,3331.3
task_grid_43.96_61.85.kml,43.96,61.85,3318.1
task_grid_43.66_60.55.kml,43.66,60.55,3308.9
task_grid_43.96_61.95.kml,43.96,61.95,3304.0
task_grid_44.36_59.65.kml,44.36,59.65,3276.2
task_grid_46.46_58.75.kml,46.46,58.75,3227.4
task_grid_44.46_61.55.kml,44.46,61.55,3212.0
task_grid_43.96_61.75.kml,43.96,61.75,3196.3
task_grid_45.66_60.65.kml,45.66,60.65,3193.3
task_grid_45.16_60.35.kml,45.16,60.35,3184.7
task_grid_45.86_58.75.kml,45.86,58.75,3183.3
task_grid_45.26_60.45.kml,45.26,60.45,3154.7
task_grid_45.96_59.85.kml,45.96,59.85,3140.8
task_grid_44.06_60.65.kml,44.06,60.65,3127.3
task_grid_43.86_60.15.kml,43.86,60.15,3118.2
task_grid_44.26_61.85.kml,44.26,61.85,3099.7
task_grid_45.16_60.25.kml,45.16,60.25,3098.0
task_grid_45.56_59.45.kml,45.56,59.45,3071.5
task_grid_44.26_59.05.kml,44.26,59.05,3037.6
task_grid_45.96_58.75.kml,45.96,58.75,3034.5
task_grid_44.96_59.35.kml,44.96,59.35,3029.0
task_grid_45.66_59.65.kml,45.66,59.65,3017.1
task_grid_45.86_61.85.kml,45.86,61.85,3007.4
task_grid_44.36_60.45.kml,44.36,60.45,3003.7
task_grid_44.16_58.75.kml,44.16,58.75,2953.1
