filename,centroid_lat,centroid_lon,area_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_45.35_60.38.kml,45.35,60.38,5414.4,78.73,78.73,kazakhstan
task_grid_45.35_60.98.kml,45.35,60.98,5379.8,51.07,51.07,kazakhstan
task_grid_45.55_58.98.kml,45.55,58.98,5340.9,29.77,29.77,kazakhstan
task_grid_45.75_60.78.kml,45.75,60.78,5174.3,31.08,31.08,kazakhstan
task_grid_45.65_60.98.kml,45.65,60.98,5174.0,34.37,34.37,kazakhstan
task_grid_45.75_61.28.kml,45.75,61.28,5172.4,9.59,9.59,kazakhstan
task_grid_46.15_60.28.kml,46.15,60.28,5170.4,8.02,8.02,kazakhstan
task_grid_45.45_58.88.kml,45.45,58.88,4960.7,27.0,27.0,kazakhstan
task_grid_45.35_59.08.kml,45.35,59.08,4921.0,21.07,21.07,kazakhstan
task_grid_45.85_60.18.kml,45.85,60.18,4854.9,41.44,41.44,kazakhstan
task_grid_44.55_60.78.kml,44.55,60.78,4744.7,14.33,14.33,kazakhstan
task_grid_45.85_59.98.kml,45.85,59.98,4728.1,35.68,35.68,kazakhstan
task_grid_45.05_60.28.kml,45.05,60.28,4713.9,70.95,72.28,kazakhstan
task_grid_45.45_60.88.kml,45.45,60.88,4676.3,50.82,50.82,kazakhstan
task_grid_45.65_60.88.kml,45.65,60.88,4666.5,37.53,37.53,kazakhstan
task_grid_45.65_59.78.kml,45.65,59.78,4624.1,26.09,26.09,kazakhstan
task_grid_45.65_60.48.kml,45.65,60.48,4607.7,54.14,54.14,kazakhstan
task_grid_46.15_59.98.kml,46.15,59.98,4563.8,12.07,12.07,kazakhstan
task_grid_44.95_61.28.kml,44.95,61.28,4562.3,21.54,21.54,kazakhstan
task_grid_44.65_60.98.kml,44.65,60.98,4562.0,1.93,1.93,kazakhstan
task_grid_45.45_60.78.kml,45.45,60.78,4540.9,57.8,57.8,kazakhstan
task_grid_45.45_59.28.kml,45.45,59.28,4518.0,17.35,17.35,kazakhstan
task_grid_45.75_59.88.kml,45.75,59.88,4493.2,28.17,28.17,kazakhstan
task_grid_45.35_61.08.kml,45.35,61.08,4481.3,45.74,45.74,kazakhstan
task_grid_45.55_60.68.kml,45.55,60.68,4452.7,54.0,54.0,kazakhstan
task_grid_46.05_60.28.kml,46.05,60.28,4436.8,19.11,19.11,kazakhstan
task_grid_45.35_59.28.kml,45.35,59.28,4293.4,7.26,7.26,kazakhstan
task_grid_45.85_60.38.kml,45.85,60.38,4292.2,41.17,41.17,kazakhstan
task_grid_45.65_61.08.kml,45.65,61.08,4226.6,28.25,28.25,kazakhstan
task_grid_45.65_60.78.kml,45.65,60.78,4135.0,40.5,40.5,kazakhstan
task_grid_45.55_60.88.kml,45.55,60.88,4104.7,46.53,46.53,kazakhstan
task_grid_45.65_61.38.kml,45.65,61.38,4098.8,5.98,5.98,kazakhstan
task_grid_45.75_60.18.kml,45.75,60.18,4047.7,51.22,51.22,kazakhstan
task_grid_45.45_61.28.kml,45.45,61.28,3987.5,27.67,27.67,kazakhstan
task_grid_45.55_59.28.kml,45.55,59.28,3964.5,26.59,26.59,kazakhstan
task_grid_46.05_59.78.kml,46.05,59.78,3762.1,21.16,21.16,kazakhstan
task_grid_45.85_60.98.kml,45.85,60.98,3615.4,14.03,14.03,kazakhstan
task_grid_45.35_61.18.kml,45.35,61.18,3583.6,40.91,40.91,kazakhstan
task_grid_46.15_60.18.kml,46.15,60.18,3564.1,8.31,8.31,kazakhstan
task_grid_45.15_60.98.kml,45.15,60.98,3542.5,51.3,51.3,kazakhstan
task_grid_46.15_60.48.kml,46.15,60.48,3502.3,7.97,7.97,kazakhstan
task_grid_45.25_61.18.kml,45.25,61.18,3375.9,41.1,41.1,kazakhstan
task_grid_46.05_59.88.kml,46.05,59.88,3343.6,23.02,23.02,kazakhstan
task_grid_45.85_60.08.kml,45.85,60.08,3334.4,42.53,42.53,kazakhstan
task_grid_45.65_59.98.kml,45.65,59.98,3333.2,39.24,39.24,kazakhstan
task_grid_46.15_60.38.kml,46.15,60.38,3159.1,8.74,8.74,kazakhstan
task_grid_45.75_59.98.kml,45.75,59.98,3091.8,35.81,35.81,kazakhstan
task_grid_45.75_59.68.kml,45.75,59.68,3043.6,13.35,13.35,kazakhstan
task_grid_46.05_59.98.kml,46.05,59.98,2854.7,23.18,23.18,kazakhstan
task_grid_44.85_60.38.kml,44.85,60.38,2848.7,52.54,52.54,kazakhstan
task_grid_46.15_60.08.kml,46.15,60.08,2843.1,11.69,11.69,kazakhstan
task_grid_45.85_59.88.kml,45.85,59.88,2761.8,28.01,28.01,kazakhstan
task_grid_45.35_61.28.kml,45.35,61.28,2742.3,33.23,33.23,kazakhstan
task_grid_45.75_59.78.kml,45.75,59.78,2716.5,20.62,20.62,kazakhstan
task_grid_45.05_60.98.kml,45.05,60.98,2659.9,42.32,42.32,kazakhstan
task_grid_44.65_60.58.kml,44.65,60.58,2640.8,29.44,29.44,kazakhstan
task_grid_45.25_60.28.kml,45.25,60.28,2640.6,69.8,69.8,kazakhstan
task_grid_44.75_60.48.kml,44.75,60.48,2608.5,40.35,40.35,kazakhstan
task_grid_46.05_60.18.kml,46.05,60.18,2566.4,19.34,19.34,kazakhstan
task_grid_45.55_60.28.kml,45.55,60.28,2540.4,65.15,65.15,kazakhstan
task_grid_45.25_61.08.kml,45.25,61.08,2538.3,48.88,48.88,kazakhstan
task_grid_45.85_59.58.kml,45.85,59.58,2522.2,6.7,6.7,kazakhstan
task_grid_45.65_59.88.kml,45.65,59.88,2433.7,32.4,32.4,kazakhstan
task_grid_45.55_60.78.kml,45.55,60.78,2384.8,50.62,50.62,kazakhstan
task_grid_45.55_59.78.kml,45.55,59.78,2365.4,34.4,34.4,kazakhstan
task_grid_45.25_59.38.kml,45.25,59.38,2357.5,0.13,0.13,kazakhstan
task_grid_45.75_59.38.kml,45.75,59.38,2351.2,4.52,4.52,kazakhstan
task_grid_45.55_58.88.kml,45.55,58.88,2330.4,22.3,22.3,kazakhstan
task_grid_45.75_59.48.kml,45.75,59.48,2304.6,6.82,6.82,kazakhstan
task_grid_45.75_60.08.kml,45.75,60.08,2298.1,43.51,43.51,kazakhstan
task_grid_45.55_61.38.kml,45.55,61.38,2269.3,14.23,14.23,kazakhstan
task_grid_45.55_59.88.kml,45.55,59.88,2232.2,39.41,39.41,kazakhstan
task_grid_45.85_59.48.kml,45.85,59.48,1969.9,2.48,2.48,kazakhstan
task_grid_46.15_59.88.kml,46.15,59.88,1937.3,11.9,11.9,kazakhstan
task_grid_44.55_61.08.kml,44.55,61.08,1892.6,2.39,2.39,kazakhstan
task_grid_45.55_59.98.kml,45.55,59.98,1881.7,45.21,45.21,kazakhstan
task_grid_44.65_61.08.kml,44.65,61.08,1811.5,0.37,0.37,kazakhstan
task_grid_46.15_60.58.kml,46.15,60.58,1792.9,7.3,7.3,kazakhstan
task_grid_46.15_59.78.kml,46.15,59.78,1783.9,12.92,12.92,kazakhstan
task_grid_45.65_59.18.kml,45.65,59.18,1774.0,19.88,19.88,kazakhstan
task_grid_45.15_61.18.kml,45.15,61.18,1742.0,44.08,44.08,kazakhstan
task_grid_45.05_61.08.kml,45.05,61.08,1728.4,37.71,37.71,kazakhstan
task_grid_45.85_59.68.kml,45.85,59.68,1588.3,13.06,13.06,kazakhstan
task_grid_46.05_60.08.kml,46.05,60.08,1579.0,21.31,21.31,kazakhstan
task_grid_46.05_60.38.kml,46.05,60.38,1522.4,19.8,19.8,kazakhstan
task_grid_45.85_61.28.kml,45.85,61.28,1468.3,4.84,4.84,kazakhstan
task_grid_45.95_60.18.kml,45.95,60.18,1454.4,30.38,30.38,kazakhstan
task_grid_45.95_60.08.kml,45.95,60.08,1417.9,31.75,31.75,kazakhstan
task_grid_44.55_60.98.kml,44.55,60.98,1415.3,1.84,1.84,kazakhstan
task_grid_46.15_59.68.kml,46.15,59.68,1316.5,11.79,11.79,kazakhstan
task_grid_45.35_59.38.kml,45.35,59.38,1309.8,6.46,6.46,kazakhstan
task_grid_45.75_59.28.kml,45.75,59.28,1304.1,6.56,6.56,kazakhstan
task_grid_45.95_59.08.kml,45.95,59.08,1273.0,7.14,7.14,kazakhstan
task_grid_45.35_58.98.kml,45.35,58.98,1272.0,24.92,28.71,kazakhstan
task_grid_45.25_61.28.kml,45.25,61.28,1199.5,33.35,33.35,kazakhstan
task_grid_46.35_59.58.kml,46.35,59.58,1190.3,1.22,1.22,kazakhstan
task_grid_46.05_60.58.kml,46.05,60.58,1161.2,15.32,15.32,kazakhstan
task_grid_45.25_59.28.kml,45.25,59.28,1057.6,4.23,6.44,kazakhstan
task_grid_45.15_61.08.kml,45.15,61.08,1041.5,47.58,47.58,kazakhstan
task_grid_46.35_60.38.kml,46.35,60.38,1028.6,13.44,13.44,kazakhstan
