pit_id,lat_dd,lon_dd,elevation_m,landform_vegetation,coord_source_file,coord_provenance,src_year,in_aoi,has_coordinates,soil_type,soil_class,soil_anthro_flag
1А/12,46.09297222222222,60.86783333333334,40.0,"Плоская надпойменная равнина с небольшими песчаными бугорками / кустарниково-солянковой растительностью (селитрянка, солянка супротивнолистная, лебеда солончаковая, кермек Гмелина)",morph_2012_degradation,surveyed,2012,True,True,Примитивная приморская с навеянным песчаным чехлом,sand,0
20/13,46.367416666666664,61.686249999999994,70.0,"Слабоволнистая равнина / полынная, эбелек, эфемеры",morph_2014_beloe,surveyed,2013,True,True,Бурая пустынная нормальная супесчаная на песке,brown_desert,0
20А/12,45.70897222222222,60.316861111111116,20.0,"Бугристая плоская равнина, место старого городища / карабарак, солянки",morph_2012,surveyed,2012,True,True,Солончак приморский,solonchak,0
21/13,46.49675,61.62433333333333,62.0,Высокие бугристые пески / эркеково-джузгуновой,morph_2014_beloe,surveyed,2013,True,True,"Песок пустынный бугристый закрепленный, видимо карбонатный",sand,0
21/14,45.63622222222222,61.61516666666667,32.6,Увалисто-волнистая поверхность / осочково-полынная с эфемерами,morph_2014_beloe,surveyed,2014,True,True,Бурая «легкая» незасоленная песчаная на песке,brown_desert,0
22А/12,45.697694444444444,60.42080555555555,25.0,Плоская поверхность / лебедой солончаковой,morph_2012,surveyed,2012,True,True,Солончак приморский,solonchak,0
23/14,45.60194444444445,61.563027777777776,27.4,Поверхность отакырена / эфемерово-саксауловой,morph_2014_beloe,surveyed,2014,True,True,Такыровидная слабосолончаковая среднесуглинистая,solonchak,0
23А/12,45.77761111111111,60.464555555555556,28.0,Плоская поверхность / солянковой растительностью,morph_2012,surveyed,2012,True,True,Солончак приморский,solonchak,0
24/13,46.37130555555556,61.57161111111112,66.0,"Высокие волнистые поверхности / полынная с пятнами биюргуна, саксаул, эфемеры",morph_2014_beloe,surveyed,2013,True,True,Бурая пустынная солонцевато-солончаковая супесчаная почва,solonchak,0
24/14,45.60194444444445,61.56366975961089,,Распаханный массив / посадка саксаула,morph_2014_beloe,recovered_offset,2014,True,True,Такыровидная нарушенная (пахотная) незасоленная  среднесуглинистая,takyr,1
24А/12,45.78938888888889,60.4445,27.0,Плоская поверхность / солянковой растительностью,morph_2012,surveyed,2012,True,True,Солончак приморский,solonchak,0
25/13,46.321472222222226,61.490972222222226,55.0,Равнинные пески / осочково-полынной с терескеном,morph_2014_beloe,surveyed,2013,True,True,Песок пустынный равнинный закрепленный карбонатный,sand,0
25/14,,,,Плоская поверхность / полынно-кейреуковая,morph_2014_beloe,missing,2014,False,False,Такыровидная засоленная  легкоглинистая,takyr,0
26/13,46.225861111111115,61.39,32.0,Плоская равнина / биюргуновая,morph_2014_beloe,surveyed,2013,True,True,"Солонец пустынный солончаковый тяжелосуглинистый, на супеси с 40 см",solonchak,0
27/13,46.225861111111115,61.39,32.0,Плоская равнина / кейреуково-полынной,morph_2014_beloe,surveyed,2013,True,True,Бурая пустынная солончаковатая супесчаная на суглинке,solonchak,0
28/13,46.21738888888889,61.27475,40.0,Межбугровое пространство / полынной с эфемерами,morph_2014_beloe,surveyed,2013,True,True,Песок лугово-пустынный равнинный закрепленный,meadow,0
28/14,45.79738888888889,61.70741666666667,32.4,Плоская равнина / полынно-карабараковая,morph_2014_beloe,surveyed,2014,True,True,Солончак вторичный среднесуглинистый,solonchak,0
29/13,46.176249999999996,61.25863888888889,47.0,Равнинные пески / осочково-эбелековой,morph_2014_beloe,surveyed,2013,True,True,"Песок пустынный равнинный закрепленный, но с поверхности нарушенный",sand,1
29/14,45.72175,61.706583333333334,33.3,Абсолютно плоская равнина / сарсазановая,morph_2014_beloe,surveyed,2014,True,True,Солончак луговой,solonchak,0
2А/12,46.08372222222223,60.86691666666667,40.0,Плоская равнина / солянковой растительностью,morph_2012_degradation,surveyed,2012,True,True,Примитивная приморская почва,primitive_coastal,0
30/13,46.08377777777778,61.16363888888889,60.0,Высокие волнистые поверхности / осочково-полынной,morph_2014_beloe,surveyed,2013,True,True,Бурая пустынная супесчаная на песке,brown_desert,0
30/14,45.831611111111116,61.717777777777776,24.7,Огромная плоская депрессия / тростниковая,morph_2014_beloe,surveyed,2014,True,True,Лугово-болотная солончаковая тяжелосуглинистая,solonchak,0
32/14,45.78322222222222,61.82222222222222,31.8,Увалистый массив / осочково-полынной,morph_2014_beloe,surveyed,2014,True,True,"Бурая пустынная с навеянным песчаным чехлом, песчаная",brown_desert,0
33/14,45.81388888888888,61.847972222222225,26.8,Плоская поверхность / солянковая с кустарниками,morph_2014_beloe,surveyed,2014,True,True,Солончак вторичный (произошедший из болотной или лугово-болотной почвы) среднесуглинистый,solonchak,0
34/14,45.80422222222222,61.93469444444444,28.8,Рисовое поле,morph_2014_beloe,surveyed,2014,True,True,Рисово-болотная незасоленная тяжелосуглинистая,meadow_bog,1
35/14,45.79880555555555,61.56722222222223,32.0,Сильно нарушенная территория,morph_2014_beloe,surveyed,2014,True,True,Луговая обсыхающая солончаковая тяжелосуглинистая,solonchak,0
37/14,45.84022222222222,61.56077777777777,28.1,Депрессия / низкий тростник,morph_2014_beloe,surveyed,2014,True,True,Лугово-болотная солончаковая тяжелосуглинистая,solonchak,0
3А/12,46.08502777777778,60.86188888888889,37.0,Плоская поверхность / кустарниковой растительностью (селитрянка) с редкими солянками,morph_2012_degradation,surveyed,2012,True,True,Солончак отакыренный,solonchak,0
4А/12,46.06888888888889,60.934666666666665,47.0,Плоская поверхность / кустарниково-солянковой растительностью,morph_2012_degradation,surveyed,2012,True,True,Примитивная приморская почва,primitive_coastal,0
5А/12,46.08605555555556,60.95527777777778,51.0,Плоская поверхность / кустарниково-солянковой растительностью,morph_2012_degradation,surveyed,2012,True,True,Солончак луговой,solonchak,0
6А/12,46.034388888888884,61.03402777777777,48.0,Плоская поверхность / солянково-кустарниковой растительностью,morph_2012_degradation,surveyed,2012,True,True,Солончак луговой,solonchak,0
7А/12,46.03138888888889,61.01616666666666,50.0,Плоская поверхность / солянковой растительностью с единичными кустами селитрянки,morph_2012_degradation,surveyed,2012,True,True,Солончак луговой,solonchak,0
8А/12,46.01891666666666,60.989472222222226,47.0,"Рельеф – мелкобугристый / солянковой растительностью (карабарак, кустарники солелюбивые) с единичными экземплярами саксаула",morph_2012_degradation,surveyed,2012,True,True,Песок лугово-пустынный равнинный,meadow,0
9А/12,46.03363888888889,60.946888888888886,40.0,"Плоская поверхность морского дна / кустарниково-солянковой растительностью (карабарак, кермек, солянка супротивнолистная, тамарикс)",morph_2012_degradation,surveyed,2012,True,True,Солончак отакыренный,solonchak,0
