pit_id,depth_top_cm,depth_bottom_cm,humus_pct,n_total_pct,c_n_ratio,co2_pct,caco3_pct,caso4_pct,exch_ca,exch_mg,exch_na,exch_k,exch_sum,p2o5_mobile,k2o_mobile,n_hydrolyzable,ph_water,src_year,salt_sum_salts_pct,salt_alk_hco3_pct,salt_alk_co3_pct,salt_cl_pct,salt_so4_pct,salt_ca_pct,salt_mg_pct,salt_na_pct,salt_k_pct,sand_1_0p25,sand_0p25_0p05,silt_0p05_0p01,silt_0p01_0p005,silt_0p005_0p001,clay_lt0p001,physical_clay_lt0p01,hygroscopic_water_pct,sand_pct,silt_pct,clay_pct,lat_dd,lon_dd,elevation_m,in_aoi,has_coordinates,coord_provenance,georeferenced
07/14,0.0,5.0,2.28,0.112,11.8,6.1,13.8,,10.5,7.25,7.2,0.37,25.3,,,,8.9,2014,5.154,0.037,,0.103,3.403,0.19,0.087,1.32,0.014,1.91,20.64,43.39,15.41,13.38,5.27,34.06,1.3,22.55,72.17999999999999,5.27,45.71069444444445,61.736222222222224,33.4,True,True,surveyed,True
07/14,5.0,15.0,0.92,0.056,9.5,8.5,19.4,,5.75,34.0,3.3,0.35,43.4,,,,8.9,2014,,,,,,,,,,,,,,,,,,,,,45.71069444444445,61.736222222222224,33.4,True,True,surveyed,True
07/14,15.0,25.0,1.09,0.07,9.0,8.7,19.8,,6.75,25.5,1.4,0.27,33.9,,,,8.9,2014,,,,,,,,,,,,,,,,,,,,,45.71069444444445,61.736222222222224,33.4,True,True,surveyed,True
07/14,40.0,50.0,,,,8.9,20.2,,,,,,,,,,8.9,2014,,,,,,,,,,,,,,,,,,,,,45.71069444444445,61.736222222222224,33.4,True,True,surveyed,True
07/14,90.0,100.0,,,,9.0,20.6,,,,,,,,,,9.0,2014,,,,,,,,,,,,,,,,,,,,,45.71069444444445,61.736222222222224,33.4,True,True,surveyed,True
08/13,0.0,10.0,0.24,0.056,2.5,0.5,1.2,,2.25,2.0,0.84,0.13,5.2,12.0,160.0,19.6,9.0,2013,0.048,0.02,,0.003,0.011,0.005,0.001,0.005,0.003,35.24,48.66,7.24,2.82,1.61,4.43,8.85,0.58,83.9,11.67,4.43,46.066750000000006,61.10333333333333,65.0,True,True,surveyed,True
08/13,10.0,20.0,0.17,0.056,1.8,0.6,1.4,,3.5,2.0,1.01,0.34,6.9,6.0,330.0,16.8,8.9,2013,,,,,,,,,,,,,,,,,,,,,46.066750000000006,61.10333333333333,65.0,True,True,surveyed,True
08/13,25.0,35.0,0.1,0.028,2.1,2.0,4.6,,3.5,2.0,1.18,0.45,7.1,3.0,370.0,19.6,9.0,2013,,,,,,,,,,,,,,,,,,,,,46.066750000000006,61.10333333333333,65.0,True,True,surveyed,True
08/13,40.0,75.0,,,,2.1,4.7,,,,,,,,,,8.7,2013,,,,,,,,,,,,,,,,,,,,,46.066750000000006,61.10333333333333,65.0,True,True,surveyed,True
08/14,0.0,5.0,0.24,0.042,3.3,1.8,4.1,,15.25,3.0,20.7,0.35,39.3,,,,9.2,2014,0.43,0.112,0.031,0.027,0.161,0.01,0.012,0.095,0.013,0.85,20.0,24.74,4.54,6.19,43.7,54.12,2.9,20.85,35.47,43.7,45.663666666666664,61.71058333333334,40.3,True,True,surveyed,True
