pit_number,pit_code,source_table,depth_raw,depth_top_cm,depth_bottom_cm,CO3_mmol_100g,CO3_pct,HCO3_mmol_100g,HCO3_pct,Cl_mmol_100g,Cl_pct,SO4_mmol_100g,SO4_pct,Ca_mmol_100g,Ca_pct,Mg_mmol_100g,Mg_pct,Na_mmol_100g,Na_pct,K_mmol_100g,K_pct,salinity_pct,sum_anions,sum_cations,source_file,humus_pct,CO2,pH
7,07/20А,chemistry_salinity_ions,0-4 см,0.0,4.0,,,0.6,0.037,5.6,0.199,13.2,0.63,13.4,0.268,2.4,0.029,4.322,0.099,0.637,0.025,1.29,19.373,20.759,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
7,07/20А,chemistry_salinity_ions,4-24 см,4.0,24.0,,,0.45,0.027,6.0,0.213,10.9,0.52,4.0,0.08,2.4,0.029,11.115,0.256,0.422,0.016,1.15,17.373,17.937,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
7,07/20А,chemistry_salinity_ions,24-51 см,24.0,51.0,,,0.45,0.027,16.8,0.596,52.1,2.5,5.8,0.116,6.4,0.078,55.577,1.278,0.734,0.029,4.63,69.373,68.511,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
7,07/20А,chemistry_salinity_ions,51-87 см,51.0,87.0,,,0.35,0.021,14.0,0.497,53.7,2.58,4.0,0.08,8.6,0.105,55.577,1.278,0.583,0.023,4.58,68.004,68.76,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
7,07/20А,chemistry_salinity_ions,87-135 см,87.0,135.0,,,0.4,0.024,14.4,0.511,39.9,1.91,5.0,0.1,6.6,0.081,42.838,0.985,0.454,0.018,3.63,54.669,54.892,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
8,08/20А,chemistry_salinity_ions,0-23 см,0.0,23.0,,,0.45,0.027,9.6,0.341,26.7,1.28,16.0,0.32,3.8,0.046,17.06,0.392,0.368,0.014,2.42,36.79,37.228,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
8,08/20А,chemistry_salinity_ions,23-34 см,23.0,34.0,,,0.4,0.024,16.0,0.568,44.9,2.16,7.6,0.152,7.2,0.088,47.085,1.083,0.195,0.008,4.08,61.302,62.08,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
8,08/20А,chemistry_salinity_ions,34-61 см,34.0,61.0,,,0.45,0.027,13.6,0.483,40.5,1.95,3.8,0.076,5.8,0.071,47.085,1.083,0.195,0.008,3.69,54.575,56.88,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
8,08/20А,chemistry_salinity_ions,61-92 см,61.0,92.0,,,0.35,0.021,8.4,0.298,5.1,0.25,1.4,0.028,1.0,0.012,11.758,0.27,0.109,0.004,0.88,13.897,14.267,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
8,08/20А,chemistry_salinity_ions,92-135 см,92.0,135.0,,,0.45,0.027,4.4,0.156,0.3,0.02,0.4,0.008,0.6,0.007,4.262,0.098,0.023,0.001,0.31,5.183,5.284,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
9,09/20А,chemistry_salinity_ions,0-4 см,0.0,4.0,0.2,0.006,0.5,0.031,87.6,3.11,164.3,7.89,9.0,0.18,42.0,0.512,202.641,4.661,0.713,0.028,16.42,252.633,254.354,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
9,09/20А,chemistry_salinity_ions,4-10 см,4.0,10.0,0.1,0.003,0.4,0.024,35.2,1.25,45.1,2.16,20.2,0.404,34.8,0.425,34.288,0.789,0.659,0.026,5.08,80.777,89.947,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
