№ п/п;Место отбора ;Место отбора (глубина);CO3,             ммоль (экв) /100 г;CO3,            %;HCO3,             ммоль (экв) /100 г;HCO3,             %;Cl,             ммоль (экв) /100 г;Cl, %;SO4, ммоль/  100 г;SO4, %;Ca,             ммоль (экв) /100 г;Ca,            %;Mg,             ммоль (экв) /100 г;Mg,            %;Na, ммоль (экв) /100 г;Na, %;К, ммоль (экв) /100 г;К, %;Соленость, %;Сумма анионов;Сумма катионов;;CO3,             ммоль (экв) /100 г;HCO3,             ммоль (экв) /100 г;Cl,             ммоль (экв) /100 г;SO4, ммоль/  100 г;Ca,             ммоль (экв) /100 г;Mg,             ммоль (экв) /100 г;Na, ммоль (экв) /100 г;К, ммоль (экв) /100 г
47;;60-101 см;-;-;0,500;0,031;8,400;0,298;14,3;0,68;2,200;0,044;6,600;0,081;14,257;0,328;0,076;0,003;1,47;23,167;23,134;;;;;;;;;
48;;101-160 см;-;-;0,450;0,027;6,800;0,241;10,7;0,52;2,400;0,048;4,000;0,049;11,758;0,270;0,033;0,001;1,15;17,998;18,192;;;;;;;;;
49;Разрез 10;0-10 см;0,200;0,006;0,550;0,034;33,600;1,193;82,3;3,95;14,800;0,296;23,800;0,290;84,265;1,938;1,951;0,076;7,78;116,626;124,817;;;;;;;;;
50;;10-28 см;-;-;0,400;0,024;9,600;0,341;16,6;0,80;6,400;0,128;3,600;0,044;17,589;0,405;0,626;0,024;1,76;26,630;28,215;;;;;;;;;
51;;28-57 см;-;-;0,350;0,021;6,000;0,213;4,8;0,23;3,200;0,064;2,200;0,027;5,308;0,122;0,146;0,006;0,68;11,168;10,854;;;;;;;;;
52;;57-100 см;-;-;0,450;0,027;1,200;0,043;5,0;0,24;1,200;0,024;0,600;0,007;5,218;0,120;0,016;0,001;0,46;6,687;7,034;;;;;;;;;
53;;100-160 см;-;-;0,400;0,024;1,120;0,040;0,8;0,04;0,400;0,008;0,600;0,007;1,247;0,029;-;-;0,14;2,290;2,242;;;;;;;;;
54;Разрез 11;0-10 см;-;-;0,500;0,031;0,200;0,007;0,6;0,03;0,400;0,008;0,000;0,000;0,286;0,007;0,545;0,021;0,10;1,251;1,231;;;;;;;;;
55;;10-38 см;-;-;0,450;0,027;0,320;0,011;1,1;0,05;0,600;0,012;0,200;0,002;0,249;0,006;0,707;0,028;0,14;1,868;1,757;13;0;0,33;21,62;30,3;5,33;7,73;38,8;0,98
56;;38-59 см;-;-;0,450;0,027;0,800;0,028;3,9;0,19;1,000;0,020;0,800;0,010;1,296;0,030;1,484;0,058;0,36;5,193;4,580;;0;0,35;16,14;21;4,53;5,93;26,94;0,71
